,prism_consumer_id,score,reason_1,reason_2,reason_3,cash_score
2734,2734,0.15416058921027495,High spending on essential services,High income volatility,Multiple active debt-related expense categories,735
2735,2735,0.1742540381999873,Low minimum monthly balance,Large fluctuations in monthly balances,Frequent internal transfers between accounts,728
2736,2736,0.10499594470601678,High proportion of income spent on essentials,Irregular paycheck deposits,Frequent internal transfers between accounts,757
2737,2737,0.15992543774182305,Limited savings account activity,Frequent automotive-related expenses,Frequent internal transfers between accounts,733
2738,2738,0.0841463814432238,Low minimum monthly balance,Low average monthly balance,High proportion of income spent on essentials,769
2739,2739,0.416439009981302,Low minimum monthly balance,Low average monthly balance,High proportion of income spent on essentials,667
2740,2740,0.10571750160634463,Low net monthly cash flow,Frequent transfers to external accounts,High discretionary entertainment spending,757
2741,2741,0.11108723180658384,Frequent internal transfers between accounts,Frequent transfers to external accounts,High discretionary entertainment spending,754
2742,2742,0.1541222134977094,High proportion of income spent on essentials,Limited savings account activity,Frequent internal transfers between accounts,735
2743,2743,0.4724096138201073,High transaction volume,Limited length of transaction history,Frequent internal transfers between accounts,656
2744,2744,0.08299548061197225,High income volatility,High debit transaction activity,Low annual income inflows,770
2745,2745,0.057753012168207586,High income volatility,High spending related to debt obligations,Irregular paycheck deposits,790
2746,2746,0.027485680512615514,High income volatility,High spending related to debt obligations,High miscellaneous spending,828
2747,2747,0.04416066352744092,Irregular paycheck deposits,High spending related to debt obligations,High grocery-related spending,804
2748,2748,0.20710502347849,High volatility in essential spending,Frequent internal transfers between accounts,Frequent transfers to external accounts,717
2749,2749,0.41368782776143975,Low minimum monthly balance,Limited length of transaction history,Large fluctuations in monthly balances,667
2750,2750,0.13718231502977682,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,742
2751,2751,0.2760390432654646,High transaction volume,Low minimum monthly balance,Large fluctuations in monthly balances,698
2752,2752,0.11459767162732665,Limited savings account activity,Low net monthly cash flow,Frequent transfers to external accounts,752
2753,2753,0.5099397494857805,High transaction volume,High income volatility,Frequent internal transfers between accounts,648
2754,2754,0.12975950112626047,High income volatility,Low annual income inflows,High debit transaction activity,745
2755,2755,0.13189969394500745,Frequent cash withdrawals,Frequent automotive-related expenses,High miscellaneous spending,744
2756,2756,0.09344664768927588,High proportion of income spent on essentials,High income volatility,Low net monthly cash flow,764
2757,2757,0.20888130705585428,Frequent internal transfers between accounts,Limited savings account activity,Frequent transfers to external accounts,717
2758,2758,0.35471412842216155,High transaction volume,Low minimum monthly balance,Limited length of transaction history,680
2759,2759,0.11334260046542109,Low minimum monthly balance,Frequent automotive-related expenses,High income volatility,753
2760,2760,0.08862494442437352,High spending related to debt obligations,High discretionary entertainment spending,Irregular paycheck deposits,767
2761,2761,0.1079395949197641,High income volatility,Frequent internal transfers between accounts,Low net monthly cash flow,756
2762,2762,0.12713758394309269,High spending on essential services,Frequent cash withdrawals,Low annual income inflows,746
2763,2763,0.08753991477267373,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,767
2764,2764,0.08603876402868582,High proportion of income spent on essentials,Low net monthly cash flow,High discretionary entertainment spending,768
2765,2765,0.08274394914529769,High income volatility,Gambling-related spending,High food and beverage spending,770
2766,2766,0.08971205197190493,Gambling-related spending,High income volatility,High proportion of income spent on essentials,766
2767,2767,0.09285082226753028,Low minimum monthly balance,Low net monthly cash flow,High proportion of income spent on essentials,764
2768,2768,0.14469434803999753,Low minimum monthly balance,Frequent internal transfers between accounts,Low net monthly cash flow,739
2769,2769,0.4606815657012246,High transaction volume,Limited length of transaction history,High proportion of income spent on essentials,658
2770,2770,0.34714326721344096,Low minimum monthly balance,Low average monthly balance,Frequent internal transfers between accounts,682
2771,2771,0.33728310812948453,Low minimum monthly balance,Low average monthly balance,Frequent internal transfers between accounts,684
2772,2772,0.06018924008346597,Frequent transfers to external accounts,Low net monthly cash flow,High spending related to debt obligations,787
2773,2773,0.10903415973638753,Frequent internal transfers between accounts,High income volatility,Frequent cash withdrawals,755
2774,2774,0.14579419914180236,High transaction volume,High proportion of income spent on essentials,Irregular paycheck deposits,738
2775,2775,0.04783052753498073,High proportion of income spent on essentials,Irregular paycheck deposits,Frequent transfers to external accounts,800
2776,2776,0.07578847228664144,Frequent cash withdrawals,High income volatility,High spending related to debt obligations,775
2777,2777,0.29261545613136203,Frequent internal transfers between accounts,Frequent transfers to external accounts,High spending related to debt obligations,694
2778,2778,0.09128570724265686,Frequent cash withdrawals,High proportion of income spent on essentials,High discretionary entertainment spending,765
2779,2779,0.0956629297391362,Limited length of transaction history,Irregular paycheck deposits,High income volatility,762
2780,2780,0.2651448240509341,Multiple active debt-related expense categories,Frequent transfers to external accounts,High spending related to debt obligations,701
2781,2781,0.08855283488368029,Frequent internal transfers between accounts,Frequent transfers to external accounts,High discretionary entertainment spending,767
2782,2782,0.13464292480680376,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,743
2783,2783,0.07486400382642534,Limited savings account activity,High proportion of income spent on essentials,High discretionary entertainment spending,776
2784,2784,0.09088359329837128,High income volatility,Low annual income inflows,High debit transaction activity,765
2785,2785,0.0717486096538957,High proportion of income spent on essentials,Irregular paycheck deposits,High spending related to debt obligations,778
2786,2786,0.46937254088296465,Low minimum monthly balance,Limited savings account activity,Frequent automotive-related expenses,656
2787,2787,0.02079755238885468,High income volatility,Irregular paycheck deposits,Investment-related cash flow activity,843
2788,2788,0.05605470697825609,High proportion of income spent on essentials,Irregular paycheck deposits,High income volatility,791
2789,2789,0.06904495855491809,Limited length of transaction history,Irregular paycheck deposits,High income volatility,780
2790,2790,0.13964318972733267,High spending on essential services,Multiple active debt-related expense categories,Frequent cash withdrawals,741
2791,2791,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
2792,2792,0.15734442547096458,Frequent internal transfers between accounts,Limited savings account activity,Low net monthly cash flow,734
2793,2793,0.11665986568815166,Gambling-related spending,Frequent internal transfers between accounts,Frequent transfers to external accounts,751
2794,2794,0.021546926835287666,High income volatility,Low annual income inflows,High debit transaction activity,841
2795,2795,0.3799196884353221,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,674
2796,2796,0.24533008409800852,Frequent internal transfers between accounts,Multiple active debt-related expense categories,High income volatility,706
2797,2797,0.13881976031187598,Low net monthly cash flow,Frequent cash withdrawals,High proportion of income spent on essentials,741
2798,2798,0.46724287487616967,Frequent cash withdrawals,Frequent automotive-related expenses,High miscellaneous spending,657
2799,2799,0.1308472961384509,Frequent internal transfers between accounts,Limited savings account activity,Frequent transfers to external accounts,745
2800,2800,0.4683328282192486,Low minimum monthly balance,Limited savings account activity,Low net monthly cash flow,656
2801,2801,0.22273938519669328,Multiple active debt-related expense categories,Frequent automotive-related expenses,High miscellaneous spending,712
2802,2802,0.06646719868973101,High income volatility,Low annual income inflows,High debit transaction activity,782
2803,2803,0.32774974518601757,Multiple active debt-related expense categories,High miscellaneous spending,Frequent transfers to external accounts,686
2804,2804,0.21709077594753384,High transaction volume,Multiple active debt-related expense categories,High food and beverage spending,714
2805,2805,0.09463068893593722,Frequent internal transfers between accounts,High proportion of income spent on essentials,Irregular paycheck deposits,763
2806,2806,0.0714160337485553,Multiple active debt-related expense categories,High spending related to debt obligations,Low net monthly cash flow,778
2807,2807,0.10932785025190682,Low minimum monthly balance,High proportion of income spent on essentials,High income volatility,755
2808,2808,0.2537656652303128,Low minimum monthly balance,Low average monthly balance,High discretionary entertainment spending,704
2809,2809,0.046786017452402524,High discretionary entertainment spending,Frequent automotive-related expenses,High spending on essential services,801
2810,2810,0.062050457876556706,High proportion of income spent on essentials,High discretionary entertainment spending,Low net monthly cash flow,786
2811,2811,0.06117696608942081,High proportion of income spent on essentials,Irregular paycheck deposits,High income volatility,787
2812,2812,0.08696366998775693,Highly variable monthly net cash flow,High proportion of income spent on essentials,High income volatility,768
2813,2813,0.11285722077692059,Irregular paycheck deposits,Low net monthly cash flow,Frequent transfers to external accounts,753
2814,2814,0.08423038418210332,High credit card payment activity,High spending related to debt obligations,High discretionary entertainment spending,769
2815,2815,0.12434432283935436,Frequent internal transfers between accounts,Frequent cash withdrawals,Low annual income inflows,748
2816,2816,0.3152082988027764,Frequent internal transfers between accounts,Frequent automotive-related expenses,High proportion of income spent on essentials,689
2817,2817,0.32769186947032175,Low minimum monthly balance,Low average monthly balance,Frequent internal transfers between accounts,686
2818,2818,0.0982724796642615,Frequent transfers to external accounts,Frequent automotive-related expenses,High spending related to debt obligations,761
2819,2819,0.25046638783755604,Limited savings account activity,High income volatility,High credit card payment activity,705
2820,2820,0.16106982887114807,Multiple active debt-related expense categories,Short observable income history,High income volatility,733
2821,2821,0.18248367994972264,High proportion of income spent on essentials,Frequent internal transfers between accounts,High discretionary entertainment spending,725
2822,2822,0.08618689474125445,Limited savings account activity,Low net monthly cash flow,Frequent automotive-related expenses,768
2823,2823,0.17435709982026448,Multiple active debt-related expense categories,High income volatility,Frequent internal transfers between accounts,728
2824,2824,0.07204746112744734,Limited savings account activity,High income volatility,High spending on essential services,778
2825,2825,0.09512852954860777,Frequent cash withdrawals,High proportion of income spent on essentials,High miscellaneous spending,763
2826,2826,0.2093155627863509,Frequent internal transfers between accounts,High proportion of income spent on essentials,Low net monthly cash flow,716
2827,2827,0.0566475070493538,Highly variable monthly net cash flow,Gambling-related spending,Low minimum monthly balance,791
2828,2828,0.1880983352291627,Low minimum monthly balance,Limited savings account activity,High proportion of income spent on essentials,723
2829,2829,0.515262558049255,Low minimum monthly balance,High transaction volume,Frequent internal transfers between accounts,647
2830,2830,0.11145212759393824,High income volatility,High proportion of income spent on essentials,High spending on essential services,754
2831,2831,0.08753991477267373,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,767
2832,2832,0.07080288698002096,Frequent cash withdrawals,High income volatility,Frequent transfers to external accounts,779
2833,2833,0.27352946962575475,Frequent internal transfers between accounts,Frequent transfers to external accounts,Frequent automotive-related expenses,699
2834,2834,0.057769819043780056,High income volatility,High proportion of income spent on essentials,High spending related to debt obligations,790
2835,2835,0.07049575095727564,Low net monthly cash flow,Irregular paycheck deposits,Frequent automotive-related expenses,779
2836,2836,0.033969151815399175,Frequent cash withdrawals,Frequent automotive-related expenses,Frequent transfers to external accounts,817
2837,2837,0.3795949833824256,High volatility in essential spending,High proportion of income spent on essentials,Limited savings account activity,675
2838,2838,0.2420699500160339,Limited savings account activity,Frequent internal transfers between accounts,Low net monthly cash flow,707
2839,2839,0.03058211153584728,High income volatility,Low annual income inflows,High proportion of income spent on essentials,823
2840,2840,0.16121142026946156,High transaction volume,Frequent internal transfers between accounts,High income volatility,732
2841,2841,0.034907121737905236,Limited savings account activity,Irregular paycheck deposits,High spending related to debt obligations,816
2842,2842,0.05421265367601008,Frequent internal transfers between accounts,Limited savings account activity,High spending related to debt obligations,793
2843,2843,0.19730337098749667,High transaction volume,Limited length of transaction history,High discretionary entertainment spending,720
2844,2844,0.45020170521560127,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,660
2845,2845,0.5802773613247431,High transaction volume,Low minimum monthly balance,Large fluctuations in monthly balances,634
2846,2846,0.1744751858242589,Frequent internal transfers between accounts,Low minimum monthly balance,High credit card payment activity,728
2847,2847,0.04520874040955488,High discretionary entertainment spending,High spending on essential services,Frequent automotive-related expenses,803
2848,2848,0.12206576225863898,Low net monthly cash flow,High income volatility,Frequent automotive-related expenses,749
2849,2849,0.16168235032621067,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,732
2850,2850,0.15367922757742006,Low minimum monthly balance,Short observable income history,Frequent automotive-related expenses,735
2851,2851,0.04613193329974856,Frequent internal transfers between accounts,High income volatility,High credit card payment activity,801
2852,2852,0.16009717467644827,Frequent internal transfers between accounts,Limited length of transaction history,Limited savings account activity,733
2853,2853,0.041687284360131194,High income volatility,Frequent transfers to external accounts,High spending related to debt obligations,807
2854,2854,0.4033991299522129,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent transfers to external accounts,670
2855,2855,0.043567883300397334,Limited length of transaction history,Irregular paycheck deposits,High income volatility,804
2856,2856,0.030160975026433473,Frequent internal transfers between accounts,High discretionary entertainment spending,Frequent automotive-related expenses,824
2857,2857,0.04633705605701885,High proportion of income spent on essentials,High income volatility,Irregular paycheck deposits,801
2858,2858,0.052873709691480524,Low net monthly cash flow,Frequent transfers to external accounts,High spending on essential services,794
2859,2859,0.09900886926413827,High proportion of income spent on essentials,Frequent internal transfers between accounts,Low net monthly cash flow,760
2860,2860,0.05276898006279749,Low annual income inflows,High income volatility,High debit transaction activity,794
2861,2861,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
2862,2862,0.14302696629179718,Limited length of transaction history,Frequent internal transfers between accounts,Limited savings account activity,740
2863,2863,0.3924683282502348,Multiple active debt-related expense categories,Frequent internal transfers between accounts,Frequent cash withdrawals,672
2864,2864,0.03776585579727624,High proportion of income spent on essentials,High volatility in essential spending,Low net monthly cash flow,812
2865,2865,0.13618092255789668,Frequent cash withdrawals,High income volatility,Low annual income inflows,742
2866,2866,0.1622371241284956,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,732
2867,2867,0.24921107516193952,High income volatility,Frequent cash withdrawals,Limited savings account activity,705
2868,2868,0.20514332200176794,Multiple active debt-related expense categories,High income volatility,High credit card payment activity,718
2869,2869,0.10779767399784738,Frequent cash withdrawals,High debit transaction activity,High spending on essential services,756
2870,2870,0.37498916985586295,High transaction volume,Gambling-related spending,Multiple active debt-related expense categories,676
2871,2871,0.04311172702222702,Frequent transfers to external accounts,High discretionary entertainment spending,High spending on essential services,805
2872,2872,0.09394094689472397,High income volatility,High food and beverage spending,High debit transaction activity,763
2873,2873,0.3679770833022775,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,677
2874,2874,0.46962767384080967,High transaction volume,High proportion of income spent on essentials,Frequent cash withdrawals,656
2875,2875,0.06471112187522927,Low net monthly cash flow,High spending related to debt obligations,High income volatility,784
2876,2876,0.10947494049398981,High proportion of income spent on essentials,Frequent internal transfers between accounts,High income volatility,755
2877,2877,0.22624906219423413,Low minimum monthly balance,Frequent internal transfers between accounts,Large fluctuations in monthly balances,711
2878,2878,0.19524070161254758,High income volatility,Frequent internal transfers between accounts,Low net monthly cash flow,721
2879,2879,0.12763457710604395,High income volatility,Frequent automotive-related expenses,Low net monthly cash flow,746
2880,2880,0.31577588447478133,Frequent internal transfers between accounts,High income volatility,High spending on essential services,689
2881,2881,0.4582538202872355,Low minimum monthly balance,High spending on essential services,Low average monthly balance,658
2882,2882,0.06135997199440087,High spending related to debt obligations,Frequent transfers to external accounts,High income volatility,786
2883,2883,0.097584357814805,Frequent internal transfers between accounts,Limited savings account activity,Frequent cash withdrawals,761
2884,2884,0.1059287010540156,High proportion of income spent on essentials,Low minimum monthly balance,Irregular paycheck deposits,757
2885,2885,0.13142851979046866,Multiple active debt-related expense categories,Frequent internal transfers between accounts,High credit card payment activity,744
2886,2886,0.1762396562222286,High proportion of income spent on essentials,Frequent internal transfers between accounts,High discretionary entertainment spending,727
2887,2887,0.09607129525172993,Frequent cash withdrawals,High proportion of income spent on essentials,High spending on essential services,762
2888,2888,0.10940500224404649,High income volatility,High proportion of income spent on essentials,Low net monthly cash flow,755
2889,2889,0.06815080009773153,High proportion of income spent on essentials,Low annual income inflows,High debit transaction activity,781
2890,2890,0.13956817334936106,Limited length of transaction history,Irregular paycheck deposits,Frequent internal transfers between accounts,741
2891,2891,0.15965031987907008,High proportion of income spent on essentials,Gambling-related spending,High income volatility,733
2892,2892,0.1094215476149537,Low minimum monthly balance,Limited savings account activity,Frequent automotive-related expenses,755
2893,2893,0.0288048087758534,High discretionary entertainment spending,Frequent automotive-related expenses,High proportion of income spent on essentials,826
2894,2894,0.05565982485079595,High volatility in essential spending,High proportion of income spent on essentials,High debit transaction activity,792
2895,2895,0.0598726498034946,High proportion of income spent on essentials,Low net monthly cash flow,Irregular paycheck deposits,788
2896,2896,0.10175113245120997,Highly variable monthly net cash flow,Low net monthly cash flow,High discretionary entertainment spending,759
2897,2897,0.03953898780555306,High income volatility,High spending on essential services,Frequent dining-related spending,810
2898,2898,0.09962819030783553,Low net monthly cash flow,Limited savings account activity,Frequent transfers to external accounts,760
2899,2899,0.10190882910540461,Frequent cash withdrawals,Frequent internal transfers between accounts,Low net monthly cash flow,759
2900,2900,0.16396698521800418,Frequent cash withdrawals,Limited savings account activity,Rent-to-own or lease-to-own payment activity,731
2901,2901,0.06945980981934934,Limited savings account activity,Frequent transfers to external accounts,High discretionary entertainment spending,780
2902,2902,0.5435874408576138,Low minimum monthly balance,Gambling-related spending,Frequent internal transfers between accounts,641
2903,2903,0.1021994526760534,High income volatility,Frequent cash withdrawals,Low annual income inflows,759
2904,2904,0.04013513415360645,High miscellaneous spending,High spending on essential services,Frequent automotive-related expenses,809
2905,2905,0.09724459559497754,High income volatility,Irregular paycheck deposits,High discretionary entertainment spending,761
2906,2906,0.033695483745972366,High income volatility,High proportion of income spent on essentials,Frequent automotive-related expenses,818
2907,2907,0.10037940364383337,Gambling-related spending,Frequent transfers to external accounts,High discretionary entertainment spending,760
2908,2908,0.24400792338387986,Low minimum monthly balance,Limited savings account activity,High proportion of income spent on essentials,707
2909,2909,0.05238975671707718,High income volatility,High proportion of income spent on essentials,Irregular paycheck deposits,795
2910,2910,0.24697829761195972,Frequent internal transfers between accounts,High income volatility,High proportion of income spent on essentials,706
2911,2911,0.07517655535260429,Low net monthly cash flow,Irregular paycheck deposits,High proportion of income spent on essentials,775
2912,2912,0.04178040319734131,High income volatility,Frequent transfers to external accounts,High spending related to debt obligations,807
2913,2913,0.3410465042864425,Low minimum monthly balance,Limited savings account activity,High food and beverage spending,683
2914,2914,0.21754663856998663,Frequent internal transfers between accounts,High income volatility,Frequent transfers to external accounts,714
2915,2915,0.04260284259222066,High income volatility,Frequent cash withdrawals,Low annual income inflows,806
2916,2916,0.05059144950852634,Frequent internal transfers between accounts,High discretionary entertainment spending,Frequent automotive-related expenses,797
2917,2917,0.06033875952532226,High proportion of income spent on essentials,High income volatility,High spending on essential services,787
2918,2918,0.20027804328161405,Frequent cash withdrawals,Frequent automotive-related expenses,Frequent transfers to external accounts,719
2919,2919,0.08302333702497795,Low minimum monthly balance,Limited savings account activity,Frequent internal transfers between accounts,770
2920,2920,0.07299333658167406,High income volatility,Low annual income inflows,High debit transaction activity,777
2921,2921,0.19649849298759112,Low minimum monthly balance,Frequent internal transfers between accounts,Short observable income history,720
2922,2922,0.10227848294178683,Frequent internal transfers between accounts,Highly variable monthly net cash flow,Low net monthly cash flow,759
2923,2923,0.3123336773678932,Low minimum monthly balance,Frequent internal transfers between accounts,Highly variable monthly net cash flow,689
2924,2924,0.6077918506715632,High transaction volume,Limited length of transaction history,Low minimum monthly balance,628
2925,2925,0.046989285148984226,High income volatility,High debit transaction activity,Low annual income inflows,800
2926,2926,0.10051283131108821,Frequent internal transfers between accounts,Limited length of transaction history,Irregular paycheck deposits,760
2927,2927,0.5920420411770433,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,631
2928,2928,0.14958350453178698,Frequent internal transfers between accounts,High proportion of income spent on essentials,High miscellaneous spending,737
2929,2929,0.05945260721819363,Low minimum monthly balance,Irregular paycheck deposits,Low net monthly cash flow,788
2930,2930,0.13265868595836589,Low minimum monthly balance,Limited savings account activity,High proportion of income spent on essentials,744
2931,2931,0.0859067850788405,High income volatility,High proportion of income spent on essentials,High volume of external transfers,768
2932,2932,0.07950626941472269,High income volatility,Low annual income inflows,High proportion of income spent on essentials,772
2933,2933,0.17467153664923965,Low minimum monthly balance,Low net monthly cash flow,Frequent automotive-related expenses,728
2934,2934,0.10423534706244479,High income volatility,Low net monthly cash flow,High spending related to debt obligations,758
2935,2935,0.5140776857754853,High transaction volume,Frequent internal transfers between accounts,High discretionary entertainment spending,647
2936,2936,0.05979784166244127,Frequent internal transfers between accounts,High proportion of income spent on essentials,Irregular paycheck deposits,788
2937,2937,0.06725345900354392,Multiple active debt-related expense categories,High income volatility,Low annual income inflows,781
2938,2938,0.1657848493110483,Frequent cash withdrawals,Gambling-related spending,Frequent automotive-related expenses,731
2939,2939,0.25737554801100365,Low minimum monthly balance,Limited savings account activity,Frequent internal transfers between accounts,703
2940,2940,0.6226751099499467,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,625
2941,2941,0.08355251993026347,High miscellaneous spending,High spending on essential services,High proportion of income spent on essentials,770
2942,2942,0.46962051555471196,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,656
2943,2943,0.09246357799473888,High proportion of income spent on essentials,High discretionary entertainment spending,Frequent transfers to external accounts,764
2944,2944,0.40915591757745345,High transaction volume,Limited savings account activity,Frequent internal transfers between accounts,668
2945,2945,0.029490859104561295,High income volatility,High discretionary entertainment spending,Frequent transfers to external accounts,825
2946,2946,0.3394630961687502,Frequent internal transfers between accounts,Limited savings account activity,Low net monthly cash flow,683
2947,2947,0.2355545886748444,Low minimum monthly balance,Highly variable monthly net cash flow,Frequent internal transfers between accounts,709
2948,2948,0.06881116599539208,High income volatility,Low annual income inflows,High debit transaction activity,780
2949,2949,0.07403501101824927,High spending related to debt obligations,Frequent dining-related spending,High spending on essential services,776
2950,2950,0.35005958126356435,Low minimum monthly balance,Frequent automotive-related expenses,Low annual income inflows,681
2951,2951,0.22914217173893392,High proportion of income spent on essentials,High income volatility,Frequent internal transfers between accounts,711
2952,2952,0.4512142762314475,High transaction volume,Frequent internal transfers between accounts,High proportion of income spent on essentials,660
2953,2953,0.0612019539959547,High credit card payment activity,High spending related to debt obligations,Frequent transfers to external accounts,787
2954,2954,0.08939773422632748,High income volatility,Low annual income inflows,High spending related to debt obligations,766
2955,2955,0.05670848212604328,Frequent transfers to external accounts,Irregular paycheck deposits,High proportion of income spent on essentials,791
2956,2956,0.09681950463219553,High income volatility,High proportion of income spent on essentials,High credit card payment activity,762
2957,2957,0.14007198988484676,Frequent cash withdrawals,Low net monthly cash flow,Frequent automotive-related expenses,741
2958,2958,0.2383118406596905,Limited savings account activity,Frequent internal transfers between accounts,Low net monthly cash flow,708
2959,2959,0.08454232055610483,Frequent internal transfers between accounts,High income volatility,Frequent transfers to external accounts,769
2960,2960,0.5103124607163149,High transaction volume,Limited length of transaction history,Frequent internal transfers between accounts,648
2961,2961,0.5533146226114782,High transaction volume,Limited length of transaction history,Low minimum monthly balance,639
2962,2962,0.1622371241284956,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,732
2963,2963,0.20408958970701624,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,718
2964,2964,0.10912306651763982,High income volatility,High debit transaction activity,Low annual income inflows,755
2965,2965,0.0735502495844412,Low net monthly cash flow,High proportion of income spent on essentials,Frequent automotive-related expenses,777
2966,2966,0.08456748792076295,Low net monthly cash flow,Frequent transfers to external accounts,High discretionary entertainment spending,769
2967,2967,0.30543021772133505,Frequent automotive-related expenses,High credit card payment activity,High miscellaneous spending,691
2968,2968,0.12046026739521465,Limited savings account activity,High proportion of income spent on essentials,Low net monthly cash flow,749
2969,2969,0.07333784223274942,Limited savings account activity,Frequent transfers to external accounts,High discretionary entertainment spending,777
2970,2970,0.14299567341937086,Low annual income inflows,High proportion of income spent on essentials,Limited savings account activity,740
2971,2971,0.4120288338846544,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,668
2972,2972,0.17109352264952324,Limited savings account activity,Low minimum monthly balance,Frequent automotive-related expenses,729
2973,2973,0.283801706732656,Low minimum monthly balance,High income volatility,Multiple active debt-related expense categories,696
2974,2974,0.10851216554283492,High income volatility,High debit transaction activity,High miscellaneous spending,755
2975,2975,0.09150520226201586,Low minimum monthly balance,High proportion of income spent on essentials,Frequent automotive-related expenses,765
2976,2976,0.5002568579777463,Multiple active debt-related expense categories,Frequent internal transfers between accounts,Frequent automotive-related expenses,650
2977,2977,0.5255498408020689,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,645
2978,2978,0.14847874277960324,Low minimum monthly balance,Frequent automotive-related expenses,High spending on essential services,737
2979,2979,0.23562179756131585,Gambling-related spending,Frequent internal transfers between accounts,Frequent transfers to external accounts,709
2980,2980,0.11750815211903531,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,751
2981,2981,0.18730093488378197,Low net monthly cash flow,High proportion of income spent on essentials,Recent account fees incurred,723
2982,2982,0.09810757115080151,Frequent internal transfers between accounts,High proportion of income spent on essentials,Low net monthly cash flow,761
2983,2983,0.04219839980154651,High income volatility,Low annual income inflows,High spending on essential services,806
2984,2984,0.06872713224788418,Frequent internal transfers between accounts,Frequent transfers to external accounts,High credit card payment activity,780
2985,2985,0.17497953758571813,High transaction volume,High discretionary entertainment spending,Frequent insurance payments,728
2986,2986,0.7263664494342792,High transaction volume,Limited length of transaction history,Low minimum monthly balance,601
2987,2987,0.18733383819754873,Gambling-related spending,Frequent internal transfers between accounts,Frequent transfers to external accounts,723
2988,2988,0.07188419816321447,High spending on essential services,High proportion of income spent on essentials,Frequent transfers to external accounts,778
2989,2989,0.3362076502976583,Low minimum monthly balance,Gambling-related spending,Limited savings account activity,684
2990,2990,0.2925409392058133,Low minimum monthly balance,High volatility in essential spending,Low net monthly cash flow,694
2991,2991,0.37541169856320517,Multiple active debt-related expense categories,Frequent cash withdrawals,Frequent automotive-related expenses,675
2992,2992,0.1316281530796465,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,744
2993,2993,0.1082282098522565,High spending on essential services,High income volatility,High debit transaction activity,755
2994,2994,0.12325530854209667,Frequent internal transfers between accounts,Frequent transfers to external accounts,High spending related to debt obligations,748
2995,2995,0.2690088332376154,Frequent cash withdrawals,Frequent transfers to external accounts,High discretionary entertainment spending,700
2996,2996,0.10360709073722953,High income volatility,Low annual income inflows,Low net monthly cash flow,758
2997,2997,0.21327492816601396,Low annual income inflows,Limited savings account activity,Low average monthly balance,715
2998,2998,0.44846040897401107,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,660
2999,2999,0.7095240445290568,High transaction volume,Limited length of transaction history,Frequent internal transfers between accounts,605
3000,3000,0.09123938387787409,Frequent cash withdrawals,High income volatility,Frequent automotive-related expenses,765
3001,3001,0.08753991477267373,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,767
3002,3002,0.12556563143664065,Low net monthly cash flow,Frequent transfers to external accounts,Frequent automotive-related expenses,747
3003,3003,0.10207052874693177,High credit card payment activity,High spending on essential services,Frequent dining-related spending,759
3004,3004,0.28007175290112635,Frequent internal transfers between accounts,Frequent automotive-related expenses,Frequent cash withdrawals,697
3005,3005,0.1103289674644338,High proportion of income spent on essentials,High income volatility,Low annual income inflows,754
3006,3006,0.011479793148140802,Frequent transfers to external accounts,Irregular paycheck deposits,Frequent insurance payments,850
3007,3007,0.18681360559151886,Frequent internal transfers between accounts,High spending related to debt obligations,Low net monthly cash flow,724
3008,3008,0.07911409701106445,High income volatility,High spending on essential services,High spending related to debt obligations,773
3009,3009,0.16813580909247888,High income volatility,Frequent transfers to external accounts,High credit card payment activity,730
3010,3010,0.4246169896162175,Low minimum monthly balance,Limited length of transaction history,High proportion of income spent on essentials,665
3011,3011,0.44808071945009625,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,660
3012,3012,0.11207429917943577,Gambling-related spending,Frequent internal transfers between accounts,High proportion of income spent on essentials,753
3013,3013,0.09646662463430268,High discretionary entertainment spending,Irregular paycheck deposits,Frequent transfers to external accounts,762
